sentence,abstract_abstract,abstract_concrete,abstract_ignorance,policy_not policy,policy_policy,dynamics_not dynamics,dynamics_dynamics,valence_neutral,valence_winning,valence_losing
use the green boxes to reach the yellow ones and you win,-3.0076625,-0.050745774,-inf,-1.0210768,-0.44667494,-1.2288444,-0.3462322,-10.914719,-2.1411865e-05,-inf
dont hit the green boxes,-8.646025,-0.00082249544,-7.4453034,-8.103462,-0.00030733744,-0.03716915,-3.3113945,-0.051665794,-7.0139785,-3.0089698
dont let the brown or yellow fall on you,-7.280897,-0.0022144886,-6.6196766,-7.7723575,-0.0004324573,-0.030144418,-3.517825,-0.20325758,-8.307452,-1.6953955
get to the lime green box to clear through the red and then go through to reach the green box to win,-0.25407672,-1.521466,-inf,-4.6622753,-0.00950449,-0.5088162,-0.919434,-8.189999,-0.00029017578,-inf
don't hit the reds or the wall,-4.4981775,-0.015519246,-5.53794,-6.3746867,-0.0017162316,-0.02371976,-3.7538395,-0.6242635,-6.098316,-0.7723577
use the lose purple to get to the light blue and reach the brown to win,-0.3490217,-1.3147905,-3.7059152,-2.6507154,-0.0732485,-0.003582253,-5.652043,-2.8949528,-0.057279468,-8.494188
"The green blocks will kill you, unless you pick up a white block first.",-0.5336506,-0.8835861,-inf,-1.6926138,-0.20341703,-8.063202,-0.00031842338,-5.565121,-10.735036,-0.0038744197
"Each white block you collect will let you destroy a green block (instead of getting killed by it), by running into the green block.",-6.117418,-0.0024468773,-inf,-3.2027473,-0.041523095,-8.823329,-0.00014931006,-2.0412362,-0.13935022,-9.120559
You need to get rid of all the blue blocks by pushing them onto yellow boxes.,-4.335863,-0.013197177,-inf,-4.227534,-0.014721386,-8.98965,-0.00012701898,-4.8338585,-0.008018726,-10.9964695
Purple blocks will change to yellow when a red box is pushed onto them.,-6.289421,-0.0018842538,-11.270191,-0.15073417,-1.9668334,-9.541007,-7.3861476e-05,-0.7330949,-0.6548402,-10.972416
Pinkish blocks will change to red when touched.,-10.253398,-7.302705e-05,-10.545543,-0.024711147,-3.7134452,-8.095102,-0.00030745665,-0.0011723675,-8.3655405,-7.0062747
"Don't get hit by the light blue block, and don't let it touch all the green blocks, as you will lose when that happens.",-2.650974,-0.07332018,-inf,-6.2895455,-0.0018656912,-4.5754437,-0.010359283,-9.950884,-inf,-5.7649777e-05
Get to the yellow block or push a green block onto the yellow one to win.,-4.3589764,-0.012907134,-inf,-1.6617262,-0.21051815,-7.0533676,-0.0008678717,-13.5790415,-4.365741e-06,-inf
Don't touch the pink blocks!,-12.392607,-2.8206474e-05,-11.019619,-7.4161615,-0.0006058143,-3.3797207,-0.034656413,-1.7847471,-inf,-0.18380071
You can use the green blocks to push the pink ones out of the way.,-0.056080643,-2.910401,-inf,-6.98757,-0.0009289718,-8.827277,-0.00014942927,-0.13717121,-2.0548673,-inf
"Make sure you don't block yourself in, as you can't push two blocks that are next to each other.",-0.32266426,-1.2883453,-inf,-8.645854,-0.00017851128,-8.063587,-0.00031627773,-0.81719583,-9.018028,-0.5832004
Use the light blue blocks to teleport around to yellow blocks.,-0.014194532,-4.3073273,-inf,-4.5969143,-0.010150671,-7.1156783,-0.0008158237,-1.800978,-0.18057272,-inf
Don't touch the other color blocks (watch out for the moving ones!,-4.864994,-0.0109252045,-5.787134,-6.443957,-0.0015986528,-0.21603535,-1.6385417,-3.3827846,-inf,-0.03457338
"), although if you see one shaking (brown I think), you can safely use it to teleport too to enclosed areas.",-1.307534,-7.3379292,-0.31737968,-0.0005216968,-7.6390715,-0.006346446,-5.077227,-0.00896754,-4.7373514,-inf
Get to the light green block to win.,-9.382391,-0.00015252856,-9.834572,-0.00038956228,-7.883881,-8.316551,-0.00024810788,-7.418022,-0.00060843676,-inf
Collect enough green blocks to fill up your block with green bars.,-3.9563797,-0.019518668,-8.881635,-2.4191957,-0.09325079,-1.9634537,-0.15127786,-2.1221437,-0.12762538,-inf
Once you have enough (5 I think?,-9.559684,-inf,-0.0002451278,-4.406056e-05,-10.6830845,-9.372295e-06,-inf,-0.0003827677,-inf,-inf
"), get to the purple block.",-inf,-inf,-0.001457378,-0.00022403974,-inf,-0.0008945476,-7.709734,-0.0023097654,-6.1432056,-inf
Don't let you yellow blocks hit you!,-8.943784,-0.0006078408,-7.7213683,-5.8614674,-0.0028574169,-1.0428705,-0.43459412,-3.9712384,-inf,-0.019076673
"They can only go on the grey squares, but you'll make grey squares when you move around.",-0.012729779,-4.4248695,-inf,-0.4200537,-1.0701811,-4.7113905,-0.009039955,-0.0031791406,-6.0528617,-7.2276664
"You can use this to your advantage, though, as you can make a path for them to take that gets them out of your way.",-9.889425e-05,-inf,-inf,-1.0911491,-0.4093082,-2.9067388,-0.056217574,-0.9469632,-0.49101344,-inf
"Also watch out for falling brown blocks, as they will fall and hurt you when you move green blocks out from under them.",-0.024692886,-3.7581084,-inf,-0.9321139,-0.500479,-7.968446,-0.00034976663,-5.4859705,-inf,-0.0041858405
Get to the darker green block to win.,-8.573623,-0.00033665422,-8.9910345,-0.0023500766,-6.067272,-7.119931,-0.0008116515,-6.606165,-0.0013597594,-inf
"You can safely go on the purple blocks and eat them, and the light green block is safe too.",-6.8651705,-0.0022552912,-6.8523474,-0.047921482,-3.0624726,-2.261668,-0.11002799,-0.054541893,-2.9371579,-inf
"It will eat other blocks (besides purple), and can make paths for you to get to the dark green block.",-0.11682938,-2.2171807,-inf,-0.05734667,-2.8877852,-7.745254,-0.00043639098,-0.65121067,-0.73719585,-inf
"Watch out though, as it will also let other blocks out that can get you!",-0.004423825,-6.8825727,-5.7951474,-0.001628406,-6.4275775,-0.443771,-1.0262657,-1.3341922,-inf,-0.30581462
So move fast!,-0.060584903,-inf,-2.8393688,-0.0015517599,-6.475133,-6.6306106e-06,-inf,-0.006087223,-5.1158667,-inf
Use space bar to shoot at the moving blocks to destroy them before they get to the yellow blocks.,-9.959061,-7.0285365e-05,-inf,-6.4822593,-0.0015408078,-8.104239,-0.0003056686,-5.3701634,-0.0047843265,-9.164559
"They turn green when they get them, and when they get them all you will lose.",-4.3535447,-0.44182807,-1.0733798,-0.0026041951,-5.955693,-0.26552653,-1.4560668,-5.643117,-9.49455,-0.0036611182
I liked to sit on the side of the screen and press space bar repeatedly as fast as I can for the earlier levels.,-inf,-inf,-0.00055994286,-3.2140193e-05,-inf,-1.962381e-05,-11.753232,-0.13701105,-2.0563798,-inf
Push the purple blocks onto the light blue boxes to make them disappear.,-9.391916,-8.542423e-05,-inf,-8.892082,-0.00014311148,-7.4268765,-0.0005975929,-1.4726,-0.26053146,-inf
Be careful not to box yourself in!,-0.08578817,-2.520309,-6.409759,-5.4590993,-0.004278666,-0.0011290213,-6.8011627,-0.10460209,-9.063512,-2.3113282
Try to plan our your moves before you make them.,-0.00015371693,-10.419303,-9.186727,-10.053048,-5.025915e-05,-5.5146502e-05,-10.000736,-0.0050120903,-5.304603,-inf
Consume all white squares then consume the yellow squares generally seems to work.,-0.0363248,-6.3662467,-3.3898194,-1.5115622,-0.24927315,-0.54368395,-0.8690395,-4.3496304,-0.013027042,-inf
"However, this did not work in every case so there may be more to it.",-0.61684734,-inf,-0.7761968,-1.2829201e-05,-inf,-5.025915e-05,-10.098809,-0.00025609453,-inf,-8.641974
Get rid of the light blue squares by pushing them into a yellow square.,-5.655747,-0.0035176373,-inf,-8.325884,-0.00024572382,-8.112711,-0.00030126172,-1.8857294,-0.16462389,-11.036908
If there are no yellow squares you can make one by combining the red and dark blue squares,-1.4515864,-0.2671858,-inf,-2.5052698,-0.085225865,-6.1105905,-0.0022263834,-0.9711914,-0.4759731,-inf
Not sure what you are supposed to do on this one.,-inf,-inf,-2.9160103e-05,-9.0883464e-07,-inf,-1.2664457e-06,-inf,-7.0285365e-05,-inf,-11.088566
"I tried intercepting the light blue square, but that seems to result in losing.",-4.4215765,-5.7441397,-0.017806064,-7.822647e-06,-inf,-0.021387305,-3.8566058,-9.924704,-inf,-6.1106686e-05
Also it seems like you lose once the light blue square changes all the green squares to light blue.,-2.3221138,-0.10542945,-6.2881308,-0.00020103711,-8.585027,-4.0532346,-0.017523337,-8.898921,-inf,-0.0001596771
Travel to the yellow square.,-9.854663,-0.00021426505,-8.904387,-0.008910351,-4.727975,-6.6335297,-0.0013238112,-0.19075942,-1.7509725,-inf
Don't touch the red square or you lose.,-12.242817,-1.7239736e-05,-11.900764,-6.2393384,-0.0019574175,-6.087703,-0.0022789577,-10.830406,-inf,-2.5107178e-05
Be careful not to block yourself in because you cannot push more than one block at a time.,-0.23051296,-1.5808758,-inf,-7.115623,-0.00081796566,-7.9358873,-0.00035941842,-2.1311784,-9.864874,-0.12648816
Travel to the green square.,-8.041763,-0.00053361355,-8.58416,-0.03965166,-3.248657,-1.8421545,-0.1725645,-0.05209974,-2.9817739,-inf
Use the brown squares and light blue squares to teleport to different locations.,-0.11468608,-2.2250147,-inf,-4.2267,-0.014722787,-9.073517,-0.0001167748,-0.10509597,-2.3065023,-inf
Don't touch the red squares or you lose.,-11.975368,-2.3676734e-05,-11.70054,-6.4806128,-0.0015381926,-6.697768,-0.001236776,-10.495398,-inf,-3.4405064e-05
Fill up the small green bar at the bottom of your square by consuming green squares.,-8.425424,-0.00023774817,-12.175786,-2.8551571,-0.05930076,-5.675475,-0.0034399382,-2.852148,-0.05951498,-inf
"Once the bar is full, travel to the blue square to win.",-7.832007,-0.0005288454,-9.162557,-0.44336662,-1.0270172,-5.5315747,-0.0039715436,-9.121992,-0.000114033115,-inf
The brown squares can kill you.,-9.102521,-0.00019328887,-9.654157,-0.13025196,-2.1028738,-9.227632,-0.0001005631,-10.566056,-inf,-3.1305768e-05
"I think they ""fall"" when touched and if you are in a grey square when it falls then you lose.",-3.2998133,-inf,-0.037953354,-0.00031294,-8.122114,-0.6146826,-0.7783751,-5.778908,-inf,-0.0031526461
Travel to the green square to win and use the light green square to help break red squares.,-0.15608464,-1.9392573,-inf,-3.9915473,-0.018658455,-6.6519146,-0.001295239,-8.343119,-0.00024453178,-inf
I believe you lose if you touch the red squares and there are also some other lose conditions that I didn't understand.,-8.137535,-inf,-0.00037585758,-2.5226382e-05,-inf,-0.0059905355,-5.123092,-10.974849,-inf,-2.4034345e-05
Press space to shoot and destroy squares.,-11.280005,-4.632543e-05,-inf,-1.9556606,-0.15258856,-1.8266284,-0.17550161,-0.31175426,-1.3176746,-inf
"Win condition seems to be based on destroying squares, not exactly sure how it's triggered though.",-5.8412676,-inf,-0.0031882864,-1.4974867e-05,-inf,-0.04947453,-3.0313127,-0.24930462,-1.5203885,-inf
If you position yourself far off to the side then you can shoot across the entire area to destroy blocks as they naturally come across and you won't have to move.,-0.0010205441,-7.7805996,-inf,-0.6573504,-0.7309817,-3.7819793,-0.023049088,-2.7703214,-0.06481799,-inf
Eventually you will win if you just keep spamming space bar.,-4.7050657,-inf,-0.009402105,-3.1544176e-05,-inf,-3.4524266e-05,-10.824274,-3.3743227,-0.034974746,-9.3169365
Travel to the brown square to win.,-7.442419,-0.0009249189,-8.085175,-0.0066324784,-5.024777,-6.1227694,-0.0021983136,-7.5330415,-0.00054206967,-inf
Don't touch the light blue squares or you lose.,-11.615668,-1.9862217e-05,-12.102942,-6.097367,-0.0022567143,-9.127962,-0.000110576206,-12.4410095,-inf,-7.9418505e-06
Use the dark blue squares to destroy the light blue squares.,-4.3390274,-0.013166465,-inf,-7.207014,-0.0007516169,-7.382473,-0.0006239186,-2.2331576,-0.11358588,-8.7967615
The tricky part is to make sure you don't waste your dark blue squares by pushing them to a location where you can no matter move them or waste them by needlessly destroying light blue squares that don't need to be destroyed.,-0.00024299313,-inf,-inf,-1.878738,-0.1658417,-0.23032218,-1.581404,-0.25167212,-1.5380186,-4.9110827
If you run out of dark blue squares or put them all in locations where they can no longer be moved then you will lose.,-5.658936,-0.0036109977,-9.35367,-0.34383574,-1.234743,-6.201669,-0.0020308269,-11.49964,-inf,-2.1650272e-05
"You are controlling the dark blue square, and the goal is to get to the yellow square.",-5.693298,-0.0035831993,-8.849471,-0.0002549025,-8.357263,-7.828863,-0.00041184606,-4.6108217,-0.010005037,-inf
"In order to do that, you need to collect the white squares to give you power to break through the green squares.",-0.040556394,-3.2400727,-inf,-5.147483,-0.0058433465,-4.1531334,-0.015846426,-1.5446697,-0.24020162,-inf
"For every one white square you collect, you can break through one green square.",-6.6596456,-0.0013261953,-inf,-3.7432773,-0.023979919,-6.7335443,-0.0011951097,-0.66901284,-0.7182339,-inf
"So, you should collect every white square in order to get to the yellow square.",-0.26337725,-1.4651976,-inf,-1.9158913,-0.15927848,-2.6635242,-0.07226889,-3.8682144,-0.021134183,-inf
You are controlling the dark blue square.,-inf,-0.00053766277,-7.7713966,-2.6656826e-05,-inf,-6.792432,-0.0011283134,-1.9385403e-05,-inf,-inf
You must combine squares to make the color yellow.,-1.5182998,-0.24827641,-7.3336034,-0.6942316,-0.6921488,-4.2253556,-0.01473278,-0.24894364,-1.5128521,-inf
"Then, push the blue squares into the yellow squares to make both of them disappear.",-7.8878202,-0.0003803873,-inf,-5.024497,-0.0066081956,-6.0118723,-0.0024557956,-1.507614,-0.25035658,-inf
"I'm not exactly sure which squares make yellow, so it's trial and error.",-8.334853,-inf,-0.00032354548,-4.692145e-05,-10.794869,-0.0013029762,-6.6562333,-0.008158495,-8.632346,-4.8499765
"I do know that if you touch the pink square, it will turn orange, and orange and purple combine to make a yellow square.",-2.1847312,-4.8647947,-0.1299389,-0.0005414773,-7.56172,-2.2042537,-0.11693331,-0.27574313,-1.4233814,-inf
"I am not sure how to win this game, but in my second try I found out that if you press the space bar, a brown square will appear next to the dark blue square you are controlling.",-inf,-inf,-0.010360575,-0.00045807508,-7.74305,-3.7615588,-0.023544652,-0.6009709,-0.80389184,-5.630592
"I tried to hit the light blue square with the brown square, but I accidentally ran into it.",-6.595641,-inf,-0.0081702005,-1.8789384e-05,-11.500322,-0.008473681,-4.7765975,-7.5957103,-inf,-0.0005374244
"You are controlling the dark blue square, and the goal is to reach the yellow square.",-7.764194,-0.0006120019,-8.872578,-0.0003459521,-8.0252905,-7.884712,-0.00037943368,-4.5775046,-0.010342882,-inf
You can not touch any other color square except green.,-8.430429,-0.0004102964,-8.778627,-2.863522,-0.058786776,-8.0820875,-0.00031150956,-1.6888682,-7.749005,-0.20486324
You can push a single green square and use it to make the other color squares disappear.,-0.5971609,-0.79955345,-inf,-3.1765916,-0.042640343,-7.644474,-0.0004807201,-0.8637614,-0.547668,-inf
"Once you're done pushing the green square, make sure it is out of the way of the path.",-0.92990345,-0.502047,-inf,-8.556756,-0.0002007987,-1.2419316,-0.3408619,-0.0056051076,-5.1936126,-inf
"If you do not do this, the green square will get stuck in the path and you will not be able to move forward.",-0.0015719952,-6.5288243,-inf,-9.307721,-9.7821416e-05,-2.7932408,-0.06318588,-0.9626531,-inf,-0.48176283
"You are controlling the dark blue square, and the goal is to get to the light green square.",-6.70213,-0.0014193996,-8.882788,-0.00020425562,-8.611263,-7.8818016,-0.00038145646,-2.6046948,-0.07682647,-inf
"In order to do that, you need to touch the light blue and brown squares to transport you where you need to go.",-0.0023678013,-6.1429434,-inf,-0.6373441,-0.7523515,-2.7985895,-0.06284304,-0.25367802,-1.496743,-inf
"The brown squares take you the the orange squares, and I believe the light blue takes you to yellow squares (but that could be wrong).",-2.9846091,-inf,-0.052932244,-5.5146502e-05,-9.987495,-0.0036063634,-5.6299243,-0.00030864868,-9.486052,-9.311853
"You are controlling the dark blue square, and the goal is to collect green squares until the green line on the dark blue square is filled, and then to go collect the purple square.",-4.1261516,-0.017310712,-inf,-0.0779429,-2.591239,-5.356709,-0.004734734,-4.6665673,-0.0094647,-inf
"Basically, the light blue squares are holding up the brown squares.",-0.004096328,-6.4891353,-6.0006156,-3.8219583e-05,-inf,-4.5208445,-0.0109489,-0.0001756504,-8.84654,-inf
"If the brown square falls on you, you lose a life.",-inf,-0.00011522515,-10.031077,-5.465131,-0.004246862,-9.262814,-9.72254e-05,-10.066087,-inf,-5.085517e-05
"To prevent this, collect the green squares on the left or right, not from the bottom.",-0.011558677,-4.4736786,-inf,-8.705533,-0.00017076306,-3.3107574,-0.037176732,-0.019969122,-3.941045,-8.367446
Leave one light blue square under the brown squares at all times.,-1.3943977,-0.2851314,-inf,-8.683094,-0.0001752928,-3.4044385,-0.033800486,-0.15370315,-1.9529147,-7.9555945
Leave blue squares all around the red squares.,-0.57803166,-0.91936314,-3.2189865,-6.4894366,-0.0015292633,-0.09655437,-2.3857865,-0.13567568,-2.0796187,-6.3558087
Do not touch the yellow squares.,-inf,-2.6418418e-05,-11.1662445,-8.984418,-0.00012916465,-4.9894543,-0.00683768,-4.214891,-inf,-0.014915182
"You are controlling the dark blue square, and the goal is to get to the dark green square.",-7.434025,-0.000875255,-8.424343,-0.00021283828,-8.570682,-8.040463,-0.0003247375,-2.8204381,-0.061456524,-inf
"The first and last levels are straight forward, and you just need to avoid every other color square and get to the dark green.",-0.0012938086,-7.610932,-7.9430356,-2.3205276,-0.10341987,-0.7006241,-0.68576586,-1.9442365,-0.15483457,-8.156195
The second and third levels require help from the light green square.,-0.020939937,-4.0284204,-5.9678373,-0.0003894431,-7.9282823,-3.0007186,-0.051040243,-0.0419226,-3.1954565,-inf
The light green square eats the orange squares.,-6.20424,-0.0027531649,-7.3772573,-0.005698873,-5.175569,-7.5709796,-0.0005202664,-0.15690158,-1.9307816,-9.361564
"In order to release the light green square, you can go through the purple squares and push the light green square towards the orange so you can get to the dark green square.",-0.030431913,-4.446762,-inf,-5.7580175,-0.003172718,-5.9049067,-0.0027345011,-0.4689949,-0.98288417,-inf
"You are controlling the dark blue square, and the goal is to just shoot to your right and I believe kill all of the brown squares.",-2.0406194,-0.26050434,-2.3530107,-0.0035627733,-5.6622047,-0.25360966,-1.4967909,-1.655496,-0.21329625,-7.010185
Just start by pushing the left arrow key until you are against the left wall and then press the right arrow key to make sure you are shooting to the right.,-2.0722537,-0.17987768,-3.7917,-2.0849135,-0.13279948,-0.21641256,-1.6369753,-0.059554968,-2.852436,-inf
"To shoot, press the space bar.",-13.100527,-1.1637165e-05,-inf,-0.52388513,-0.89717615,-0.048814226,-3.0443873,-0.001209161,-6.744377,-inf
"Once you are in position, press the space bar rapidly until you win.",-4.9643936,-0.007371877,-8.054867,-1.7597482,-0.18889786,-0.046025716,-3.1020427,-8.480614,-0.0002158147,-inf
"You are controlling the dark blue square, and the goal is to get to the brown square.",-7.938112,-0.000508711,-9.2118845,-0.00010556965,-9.359067,-7.9477234,-0.00035643837,-3.9158392,-0.020142518,-inf
"You can not touch the light blue squares, but you can push the purple squares into them to make both squares disappear.",-2.0748494,-0.13518646,-inf,-3.4622083,-0.03188176,-8.68261,-0.00017314713,-0.28697887,-1.4356834,-4.4797297
Make sure you move the purple squares in a way in which they won't get stuck.,-0.00043805985,-7.83176,-inf,-8.469205,-0.00021462266,-0.12519526,-2.1400573,-0.024221973,-3.7396035,-9.60842
"Pick up the white squares they help you to skip over the green squares, avoid going through the green if you can and finish by going to the yellow square.",-0.004031145,-6.3014326,-inf,-8.512891,-0.0002069973,-0.31239647,-1.315723,-3.7930324,-0.022875499,-inf
"The coloured squares do different things, In this round moving the blue to the pink should help it change colour.",-0.041769516,-3.2145352,-inf,-2.0125985,-0.14348847,-4.0452614,-0.017669745,-0.13823551,-2.0479894,-inf
Red squares are ok.,-8.902473,-0.033183727,-3.4322755,-0.00014501873,-8.901024,-0.0076111243,-4.884307,-0.00038002967,-inf,-8.351452
The purple teleport you.,-5.0308046,-0.044337053,-3.3087375,-0.00048596508,-7.662765,-6.5730658,-0.0014030872,-8.375538e-05,-9.859215,-inf
Do not touch the light blue square you will lose a life.,-10.739316,-7.147741e-05,-10.380101,-7.836112,-0.00039778004,-7.0454793,-0.0008759702,-11.503406,-inf,-1.4378848e-05
look for a brown square.,-6.983351,-0.04012338,-3.264483,-0.007301576,-4.926497,-0.0023493613,-6.066362,-0.0016167386,-6.4677024,-inf
The exit is the yellow square to reach the exit use the green squares to move other colours such as the pink square.,-0.030649748,-4.3350625,-inf,-1.3290316,-0.3075758,-0.49800968,-0.9358969,-1.3552485,-0.2983942,-inf
but avoid the red squares and do not enter those.,-6.0194726,-0.0025983653,-8.931907,-6.638348,-0.0013145243,-0.32397464,-1.2848129,-2.4555852,-inf,-0.08976906
"The exit the the mind square, you can use the yellow square and then brown squares to teleport you to be nearer to the exit.",-0.011514728,-5.6461983,-5.00576,-1.6498619,-0.21334422,-0.26761472,-1.4492592,-0.67549324,-0.7117233,-9.14192
first the yellow then the brown squares.,-8.400332,-0.0009926761,-7.366994,-2.0376587,-0.13966565,-0.011447775,-4.477703,-0.0573022,-2.889509,-inf
avoid the pink and red.,-9.752033,-0.00025895544,-8.700584,-9.282075,-9.865584e-05,-0.0037279879,-5.5981207,-0.0013510685,-9.38741,-6.708874
"Collect a full bar of green by picking up green square, you can only take one green square at a time and avoid the brown squares.",-6.709144,-0.0019030551,-inf,-8.994595,-0.00012964146,-5.780283,-0.0030976199,-0.59012014,-1.4580762,-1.5485342
once a full bar of green is gathered you can exit by the purple square.,-6.0703173,-0.0026484288,-8.254588,-1.3505569,-0.29992622,-3.9124079,-0.020203618,-3.2956016,-0.037796676,-inf
Reach the exit on the green square directly.,-6.086792,-0.0025158506,-8.464428,-1.4136467,-0.2787914,-2.4244735,-0.092709295,-1.9005681,-0.16195503,-inf
Otherwise Use the purple squares to skip through the wall and then they will use the mint square to disolve the wall.,-0.031498224,-7.3171964,-3.5198271,-2.0094168,-0.14401264,-0.041005943,-3.2151334,-0.6342196,-0.758182,-7.141107
use spacebar to fire at all the squares.,-9.663997,-0.0001592003,-9.620353,-0.117934644,-2.1963649,-0.037346605,-3.3068206,-0.34979293,-1.2209134,-9.341339
move to the left out of the squares way to fire at them and keep your position.,-0.25350106,-1.6367675,-3.5917692,-3.761073,-0.02357015,-0.011695232,-4.4570785,-0.10968311,-2.2658854,-inf
Move the purple square to disolve the blue squares so you can reach the exit at the brown square,-4.6505,-0.009695539,-inf,-7.951022,-0.00037657277,-0.77032965,-0.6216518,-1.1576802,-0.3774754,-inf
"Take the shortest path to each colored square, going through as few green squares as possible.",-0.00046880342,-7.882158,-inf,-11.993066,-1.0087517e-05,-3.1392279,-0.044287793,-4.4078164,-0.012304905,-inf
Avoid red.,-10.67445,-0.00035643837,-8.189245,-6.552857,-0.0014365431,-0.022788579,-3.7942214,-0.00056316133,-10.3007555,-7.614447
"Use oranges to merge with purples, use the blues to then merge with the yellow created by the orange and purple.",-0.05747554,-3.1958842,-inf,-6.303819,-0.0018402293,-3.6802387,-0.025550831,-2.728641,-0.067590155,-inf
Avoid touching the baby blue square,-10.292994,-0.00012630376,-9.639553,-7.1470637,-0.0007947356,-1.1388576,-0.3859585,-1.1797216,-inf,-0.36739138
Use greens to collect all the other colors.,-1.7524488,-0.19107412,-7.6040835,-5.6556096,-0.0035176373,-1.9896085,-0.14706965,-0.75230247,-0.6374114,-inf
Avoid reds,-9.357285,-0.0037442637,-5.6531944,-5.913449,-0.0027262983,-0.00930479,-4.6848345,-0.00094849925,-9.151416,-7.143063
avoid yellows,-9.203234,-0.0018940103,-6.383978,-6.187685,-0.0020754328,-0.0010042279,-6.9240446,-0.0032150229,-inf,-5.7707815
Avoid yellows,-9.504833,-0.0010971187,-6.959376,-6.710624,-0.001229754,-0.0016026984,-6.450299,-0.03565621,-inf,-3.3548892
go to the side of the level and spam your space bar to shoot red squares across the whole map.,-2.064314,-2.8315773,-0.26024616,-0.02058451,-3.8946786,-2.0901852,-0.13202466,-0.6622874,-0.72580785,-8.682029
Dont touch the baby blues,-inf,-0.011305871,-4.5441256,-3.9613557,-0.019243786,-0.036429994,-3.331243,-0.8127859,-inf,-0.58654004
Picking up a white cube lets you break through a green cube - collect them before you attempt to head to the gold cube (the goal) :),-3.1299558,-0.04527512,-inf,-7.059155,-0.0008682293,-5.560862,-0.0038571977,-4.7551436,-0.008658659,-inf
"Push squares around, feeding them into yellow squares to make them disappear.",-2.990014,-0.051720697,-inf,-5.1051617,-0.006093743,-7.0713882,-0.0008525127,-1.0317239,-0.44077003,-10.876866
You may need to 'create' a yellow square by pushing yourself or another square into it.,-0.07608138,-2.61868,-inf,-6.329591,-0.0017957278,-7.67294,-0.0004676114,-0.24718735,-1.5195034,-inf
My best advice is to just move stuff around and see what happens.,-1.5110085,-inf,-0.24986199,-0.00035619995,-8.007246,-2.188868e-05,-11.144681,-0.015849244,-4.1567698,-inf
Don't hit a purple block.,-10.459083,-9.6629374e-05,-9.814458,-6.302466,-0.0018393947,-3.7614193,-0.023531025,-0.04308871,-inf,-3.1674764
Don't wait until all the blocks have been turned purple.,-0.022565525,-5.7295775,-3.9697587,-2.9297175,-0.054913994,-0.5097388,-0.91797817,-0.27151278,-5.0621586,-1.4644887
"I failed, sorry!",-inf,-inf,-0.00011164904,-3.888926e-06,-inf,-3.5313153e-06,-inf,-11.774532,-inf,-2.451116e-05
You can push green blocks.,-4.547637,-0.010691578,-inf,-0.7480244,-0.64120525,-7.187953,-0.0007582886,-0.00013595926,-9.0011015,-inf
Green blocks can turn red blocks green.,-2.6200914,-0.075875215,-8.397683,-0.044125035,-3.1432729,-6.723157,-0.0012065422,-0.045167338,-3.1218352,-inf
"Don't hit the red blocks, hit the gold block to finish the game.",-5.540352,-0.004507139,-7.621805,-7.7344637,-0.00044365876,-0.6873123,-0.6990711,-1.4429555,-0.8967748,-1.0336881
"You should be careful about where you move, as you could easily block your path by moving too quickly.",-0.000121542944,-9.507318,-10.709392,-4.6477294,-0.009643108,-0.00066228013,-7.341292,-0.0009056262,-7.856811,-7.641565
"Pink blocks can be pushed in a line (i.e., by you behind a green block, so you're pushing two blocks), but you cannot push two consecutive green blocks.",-0.30223772,-1.4041016,-inf,-3.999275,-0.018514296,-8.2603245,-0.00026157423,-0.0005778161,-8.004248,-8.474998
The light green blocks is your goal.,-5.2926764,-0.055219397,-3.0287473,-0.0003615641,-8.011035,-4.3075027,-0.013570988,-2.1788437,-0.120158516,-inf
Do NOT hit green blocks.,-11.171692,-0.00011594037,-9.34627,-8.325369,-0.00024608144,-2.8755512,-0.05804635,-0.69691193,-10.192889,-0.6896411
"Light blue blocks will teleport you to yellow blocks, but you can't return.",-2.42121,-0.09310212,-inf,-0.24813151,-1.515496,-8.631889,-0.00018149138,-1.2105696,-inf,-0.3541052
"Darker blue blocks will teleport you to orange blocks, which may be what you need to get you to the goal.",-0.006115302,-5.1441293,-inf,-0.021044532,-3.8727024,-8.830461,-0.00014931006,-0.64745396,-0.74122113,-inf
Beware of moving blocks when teleporting.,-0.025738839,-3.811187,-5.739728,-2.8709955,-0.05832763,-3.847454,-0.021570142,-0.041310593,-inf,-3.2081997
'Eat' (move into) green blocks (FROM THE SIDE) to fill your meter.,-7.68159,-0.000529203,-10.442899,-4.882537,-0.0076266266,-6.414501,-0.0016423345,-0.07093656,-2.6828275,-inf
"Brown blocks adhere to gravity, so bear in mind that they may fall once you've taken a green from underneath them.",-0.0022555296,-6.167819,-inf,-3.4753566,-0.031461153,-8.2886915,-0.00025418727,-0.031462424,-3.5479152,-6.1687417
"Once your meter is full, go to the purple block to finish the level.",-8.384513,-0.00027742467,-10.360368,-1.3920362,-0.28582743,-7.123251,-0.0008108172,-4.3231626,-0.013365391,-inf
"Try not to connect your path with the path of a yellow block, as that will allow it to travel into your 'tunnel'.",-0.020020654,-3.9341004,-inf,-7.3556724,-0.0006516747,-5.1420975,-0.0058670477,-2.40044,-7.051567,-0.096118726
You need to reach the green block.,-8.045311,-0.0009293294,-7.4773145,-7.660316e-05,-9.674738,-7.8919044,-0.0003771688,-0.14573307,-1.9983008,-inf
