sentence,abstract_concrete,abstract_ignorance,abstract_abstract,policy_not policy,policy_policy,dynamics_dynamics,dynamics_not dynamics,valence_winning,valence_neutral,valence_losing
I would suggest to collect the white square,-4.7432256,-3.473143,-0.040825486,-4.249641,-0.014390436,-4.256982,-0.01428679,-1.5585649,-0.2363984,-inf
However I am not able to succeed in the game,-inf,-3.7265952e-05,-inf,-3.888926e-06,-inf,-inf,-4.8425554e-06,-inf,-9.709196,-8.172892e-05
"And I tried to merge with other blue , my block able to push the other blue block but didn't win",-inf,-0.00032592955,-inf,-1.2233183e-05,-inf,-6.372977,-0.001738244,-7.2400494,-0.77748495,-0.61731154
Ignore the red square at the top.,-0.0015797324,-6.8552213,-7.622975,-3.271402,-0.038714793,-5.259959,-0.0052230866,-7.904804,-0.0004006409,-inf
At the level 2 Move the blue square to collect all white squares not hidden by green squares first.,-0.046322346,-7.653483,-3.1132207,-7.5908585,-0.00051287946,-0.30892727,-1.3252237,-0.48317024,-0.9594295,-inf
I was able to merge with the red but it did not collect it.,-inf,-0.0004972711,-inf,-8.061054e-06,-12.639666,-5.0340176,-0.0065500555,-inf,-0.27837852,-1.4160223
"When they reach the bottom yellow squares, they turn green.",-0.000957555,-8.082634,-7.392338,-7.79144e-05,-inf,-0.00035953766,-7.941722,-4.494868,-0.011274992,-inf
"Not sure, was unsuccessful.",-inf,-4.2630116e-05,-inf,-8.061054e-06,-inf,-inf,-1.92662e-05,-inf,-3.6458228,-0.026544694
The dark orange & pink squares will kill you.,-0.0001843486,-10.404126,-8.855676,-0.1353056,-2.0673087,-9.651017e-05,-9.271483,-inf,-12.243284,-8.061054e-06
"You can also push the green tiles into the pink tiles, but they are just moved and remain on the board.",-0.035601456,-inf,-3.3551567,-0.15762053,-1.9256431,-0.0028373266,-5.8674097,-7.8898387,-0.00045534072,-10.071048
"I died on Level 1, but I learned some things.",-inf,-8.268255e-05,-inf,-6.1537958e-06,-inf,-11.32603,-2.0458236e-05,-inf,-inf,-0.00048548827
"Once the purple square hits the light blue square, they vanish.",-0.0006758584,-inf,-inf,-0.0019229217,-6.260777,-0.00035036262,-7.969684,-0.82671106,-0.5755037,-10.010488
focus on targets.,-10.091581,-6.630318,-0.0014290478,-0.8607439,-0.54972017,-inf,-8.017927e-05,-3.63671,-0.026814211,-inf
You are not able to push multiple blocks together.,-0.0035976942,-7.767657,-5.761309,-0.0017916784,-6.3479524,-0.00019769941,-9.162175,-inf,-0.00032700237,-8.077434
"Don't go too fast when close to the moving squares, they're very erratic.",-2.928344,-inf,-0.055043414,-5.1835413,-0.0056350976,-2.907225,-0.05620597,-inf,-0.00020354039,-9.964499
Avoid touching the yellow square.,-1.0325924e-05,-12.129884,-inf,-11.409343,-2.2127088e-05,-0.0074141244,-4.908726,-8.829411,-0.6921848,-0.6945957
"In this game, you die upon collecting a green square, and win upon collecting a yellow square.",-0.010447288,-7.442458,-4.647765,-0.06708217,-2.735625,-0.0011445031,-6.7747574,-0.57341564,-2.4459114,-1.0510863
Pushing the green squares into the bottom red square is the safest route because there is more open space on the bottom half of the map and harder to get a green square stuck if you play it right.,-7.3426733,-inf,-0.0019977507,-7.8345785,-0.0004073163,-0.0008509631,-7.072411,-0.022549203,-3.8093438,-inf
"You die if you touch a red or green square, and the pink ones are solid so you can't run into them.",-0.004856815,-8.227315,-5.437403,-0.06125079,-2.8236809,-0.0005709059,-7.471421,-inf,-11.843556,-1.0564331e-05
"I am 95% sure that you have to collect the yellow square to win the level, so just try to avoid collecting any square other than yellow, to win the game.",-inf,-0.035997577,-3.3464987,-1.1188272,-0.39560446,-5.081199,-0.0062727598,-0.023723718,-3.7550678,-10.760834
Do not get any squares stuck into a corner or a wall because there will be no way to push them back out and you will have to forfeit the level.,-3.3500683,-9.769164,-0.035935715,-6.7204375,-0.001218094,-0.052339267,-2.976299,-inf,-12.2282295,-9.610702e-06
You die if you touch one of the moving squares.,-0.00059092115,-7.854257,-9.076292,-0.020215297,-3.9124444,-0.00012403888,-10.11548,-inf,-14.163973,-1.9816675e-06
Touching a light blue square will kill you.,-2.8206474e-05,-11.654964,-inf,-1.4619579,-0.26371568,-7.183501e-05,-9.57265,-inf,-13.758084,-2.6968896e-06
You cannot die.,-4.1949687,-0.035411157,-3.9473774,-3.8338785e-05,-inf,-0.7167278,-0.6702228,-9.058023,-0.002683968,-5.993277
Red or yellow squares that have changed colours can be reverted by touching them.,-0.004400444,-11.7751255,-5.4348946,-1.4422909,-0.2697388,-0.00053933164,-7.529329,-inf,-5.9437833e-05,-inf
Touching a red square will turn it yellow.,-0.0007771118,-inf,-inf,-0.052914947,-2.9657872,-0.0014742719,-6.52417,-2.16797,-0.121627145,-inf
Pushing an orange square into a purple square will turn it yellow.,-0.0007848527,-10.848821,-7.1849146,-0.8538833,-0.55475765,-0.00025073037,-8.307906,-0.57531214,-0.8268647,-inf
In order to win you must collect all the squares of a single colour.,-0.6591175,-inf,-0.72860605,-1.6174154,-0.22120194,-0.008023103,-4.830077,-9.014684e-06,-12.785979,-inf
Your objective of the game is to try to touch the brown square.,-0.034889907,-3.6122482,-5.368983,-0.0003925424,-7.9128776,-0.0010906854,-6.8241076,-0.0018316576,-6.663222,-inf
"It is not worthwhile trying to protect all the squares, as it does not seem to yield more points.",-10.710594,-5.66712,-0.0035417401,-0.0021080286,-6.1685815,-0.002384807,-6.2011514,-4.2884054,-0.014235435,-8.245055
The moving squares are very fast and do not seem to move in a logical manner.,-inf,-0.62592083,-0.76582676,-0.000681338,-inf,-10.210525,-5.0139948e-05,-inf,-0.022725184,-3.7984877
Be careful not to box yourself in.,-4.238417,-8.950877,-0.014837783,-6.2441883,-0.001956706,-5.9522862,-0.0026211936,-9.170359,-0.01609596,-4.146658
Defending your position from a far side of the map and shooting directly across will prevent enemy squares from reaching their destination.,-8.725709,-inf,-0.0003309361,-5.49771,-0.0041266037,-0.0005533903,-7.637543,-0.0010194713,-7.016675,-inf
You generally want to avoid this as many red squares colliding into light blue squares will lower your score.,-inf,-10.223346,-0.00010926496,-0.17639951,-1.822098,-0.041735325,-3.1974723,-inf,-7.1847796,-0.00090919866
The best approach is to carve the path through the grey blocks while avoiding light blue and blue blocks altogether.,-inf,-8.6187315,-0.0004680882,-inf,-0.00029899686,-0.0067188097,-5.0066633,-0.0029169766,-6.212771,-inf
But the green squares are the most important ones.,-7.8546824,-6.5441527,-0.0018724748,-0.00061677006,-7.4104257,-5.82799,-0.002960585,-4.0400815,-0.017799744,-inf
Using the spacebar key will destroy a square in front of you at the cost of 1 level point (you will regain the points once the red squares make it to the green one).,-0.0021013718,-inf,-7.9126754,-2.8187327,-0.061564907,-0.00029410952,-8.14827,-0.011233855,-4.8816485,-5.9239993
Patience is key for this game.,-inf,-5.742517,-0.003245801,-0.00063368597,-7.398371,-inf,-0.00017600802,-inf,-9.198044e-05,-inf
